,ID_CLIENTE,DATA_CADASTRO,DDD,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,CEP_2_DIG
0,1661240395903230676,2013-08-22,99,,Serviços,YAHOO,PEQUENO,65
1,8274986328479596038,2017-01-25,31,,Comércio,YAHOO,MEDIO,77
2,345447888460137901,2000-08-15,75,,Serviços,HOTMAIL,PEQUENO,48
3,1003144834589372198,2017-08-06,49,,Serviços,OUTLOOK,PEQUENO,89
4,324916756972236008,2011-02-14,88,,Serviços,GMAIL,GRANDE,62
5,4679462479444735708,2000-08-15,18,,Indústria,HOTMAIL,GRANDE,19
6,1276604410881911401,2000-08-15,67,,Indústria,YAHOO,PEQUENO,38
7,8123515208041701633,2011-02-14,21,,Serviços,GMAIL,PEQUENO,26
8,4530631557358349711,2000-08-15,11,,Serviços,HOTMAIL,PEQUENO,55
9,3668905663669864663,2011-02-14,44,,Comércio,BOL,GRANDE,87
10,7041489327620930099,2018-03-27,,,Serviços,HOTMAIL,GRANDE,37
11,3118152790263512426,2000-08-15,21,,,OUTLOOK,MEDIO,22
12,1366416810235233769,2000-08-15,19,,Comércio,YAHOO,GRANDE,13
13,4395946187332973749,2000-08-15,14,,Serviços,GMAIL,MEDIO,18
14,1299146298565441811,2000-08-15,21,,Serviços,HOTMAIL,MEDIO,21
15,4052557282157719526,2009-08-30,19,,Comércio,GMAIL,MEDIO,13
16,6795467882769787169,2014-06-23,11,,Serviços,HOTMAIL,PEQUENO,98
17,2550506309527280168,2000-08-15,16,,Comércio,GMAIL,MEDIO,14
18,8724731934863284019,2000-08-15,85,,Serviços,HOTMAIL,PEQUENO,60
19,314309872114206760,2011-02-14,41,,,YAHOO,GRANDE,82
20,2250817603281429928,2001-05-31,51,,Comércio,YAHOO,GRANDE,92
21,5301988619224057921,2016-02-24,67,,Indústria,GMAIL,,79
22,3248432590399829766,2000-08-15,12,,Comércio,YAHOO,MEDIO,12
23,4095739077267179172,2011-02-14,21,,Comércio,YAHOO,PEQUENO,27
24,2092588065958607289,2006-07-18,62,,Comércio,YAHOO,GRANDE,76
25,1078687383992817574,2000-08-15,43,,Indústria,OUTLOOK,GRANDE,67
26,4717593620120611957,2016-08-14,,,Comércio,YAHOO,GRANDE,72
27,7970976988071755401,2006-09-11,91,,Comércio,YAHOO,GRANDE,68
28,1683619849073499603,2000-08-15,19,,Comércio,AOL,GRANDE,13
29,8784237149961904,2011-02-14,11,,Comércio,HOTMAIL,PEQUENO,27
30,6926309382371178621,2012-05-29,12,,Serviços,HOTMAIL,GRANDE,11
