,ID_CLIENTE,SAFRA_REF,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS
261993,1661240395903230676,2018-09,16913.0,92.0
390852,8274986328479596038,2018-09,106430.0,141.0
523225,345447888460137901,2018-09,707439.0,99.0
216838,1003144834589372198,2018-09,239659.0,96.0
214365,324916756972236008,2018-09,203123.0,103.0
379818,4679462479444735708,2018-09,53021.0,120.0
170965,1276604410881911401,2018-09,97117.0,79.0
119222,8123515208041701633,2018-09,142410.0,72.0
9141,4530631557358349711,2018-09,185040.0,101.0
318703,3668905663669864663,2018-09,331138.0,137.0
53015,7041489327620930099,2018-09,170760.0,105.0
329766,3118152790263512426,2018-09,148178.0,82.0
81255,1366416810235233769,2018-09,129947.0,99.0
61795,4395946187332973749,2018-09,251310.0,125.0
528628,1299146298565441811,2018-09,441048.0,107.0
98909,4052557282157719526,2018-09,194626.0,103.0
231381,6795467882769787169,2018-09,128177.0,153.0
410593,2550506309527280168,2018-09,450618.0,97.0
388103,8724731934863284019,2018-09,163358.0,115.0
487836,314309872114206760,2018-09,277934.0,84.0
338188,2250817603281429928,2018-09,278795.0,99.0
558396,5301988619224057921,2018-09,209440.0,107.0
287829,3248432590399829766,2018-09,217773.0,128.0
444010,4095739077267179172,2018-09,292798.0,122.0
47308,2092588065958607289,2018-09,281719.0,128.0
96072,1078687383992817574,2018-09,412365.0,132.0
44437,4717593620120611957,2018-09,159687.0,100.0
55742,7970976988071755401,2018-09,70760.0,123.0
188677,1683619849073499603,2018-09,203391.0,121.0
509803,8784237149961904,2018-09,300502.0,107.0
177181,6926309382371178621,2018-09,496569.0,106.0
525969,5753677550753111444,2018-09,342581.0,99.0
84216,4524147234488547993,2018-09,343757.0,116.0
455152,4347826483121154490,2018-09,136317.0,96.0
177182,6100972975033180377,2018-09,102782.0,95.0
525591,4334472256949955221,2018-09,354607.0,109.0
284835,2619109825960703851,2018-09,183447.0,101.0
205793,2397171153213063761,2018-09,119484.0,89.0
267902,683445437387317282,2018-09,611857.0,104.0
87212,192916471960784723,2018-09,113668.0,105.0
154039,2634859679238614382,2018-09,245072.0,125.0
87206,940214356651040716,2018-09,255144.0,82.0
14940,1192891347324061812,2018-09,160816.0,90.0
318704,8901696535927078963,2018-09,86278.0,131.0
512459,3022528659032597047,2018-09,457591.0,102.0
130688,7810315632865163836,2018-09,107504.0,107.0
335390,6964108750473070287,2018-09,260432.0,100.0
188684,7818340804682162328,2018-09,323806.0,101.0
191408,7671566034617837932,2018-09,49788.0,118.0
116340,3192341047315717823,2018-09,97108.0,89.0
148265,162896151509189921,2018-09,278169.0,99.0
402281,8729164666041467296,2018-09,475877.0,122.0
217208,2645324649046215594,2018-09,447817.0,105.0
493266,382095722273502031,2018-09,203175.0,79.0
200192,4795152981525833467,2018-09,120733.0,114.0
26818,2025898153078562640,2018-09,243444.0,105.0
301752,2451708306555441014,2018-09,546961.0,79.0
104570,4465150716052427320,2018-09,143784.0,83.0
399356,2088532321693492263,2018-09,697394.0,98.0
101683,2530707686830644666,2018-09,254785.0,112.0
180037,459290606780222306,2018-09,687301.0,85.0
520191,4061297388883391410,2018-09,35550.0,104.0
460688,8961924617442201922,2018-09,192850.0,100.0
200190,4661684997487171886,2018-09,187688.0,141.0
517808,1104269683367198574,2018-09,305058.0,116.0
390834,5761480994209806499,2018-09,521521.0,125.0
563724,4556737702757145073,2018-09,87491.0,106.0
528649,1368430815953333691,2018-09,296009.0,98.0
515204,8915958534285799867,2018-09,6615.0,150.0
301772,835441927760881602,2018-09,29638.0,98.0
